index,Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,Nstar_monitor,N120H_E,N120H_N,N120H_J,N300H_E,N300H_N,N300H_J,N120J_E,N120J_N,N120J_J,N300J_E,N300J_N,N300J_J,age
290,Collinder_69     ,83.792,9.813,-164.838,-12.05,0.989,620,1.194,0.55,-2.118,0.393,2.462,0.124,,7.1,0.25,8.1,416.0,-393.0,-106.0,-87.0,8734.0,Cl Collinder 69                ,83.792,9.813,220.0,0.0,183.0,217.0,0.0,212.0,217.0,0.0,183.0,217.0,0.0,212.0,217.0,12589254.117941663
617,IC_2714          ,169.373,-62.719,-67.59899999999999,-1.784,0.171,888,-7.597,0.167,2.639,0.168,0.719,0.044,,8.72,0.95,10.67,1360.0,518.0,-1257.0,-42.0,7922.0,IC 2714                        ,169.3731,-62.719,824.0,0.0,2.0,784.0,0.0,3.0,790.0,0.0,2.0,784.0,0.0,3.0,790.0,524807460.2497734
621,IC_4651          ,261.212,-49.917,-19.89600000000001,-7.902,0.23,806,-2.41,0.213,-5.064,0.202,1.056,0.063,,9.22,0.42,9.96,982.0,915.0,-331.0,-135.0,7432.0,IC 4651                        ,261.212,-49.917,755.0,0.0,5.0,718.0,0.0,55.0,733.0,0.0,5.0,718.0,0.0,55.0,733.0,1659586907.4375632
738,Melotte_22       ,56.601,24.114,166.462,-23.614,1.274,952,20.077,1.062,-45.503,1.183,7.346,0.177,,7.89,0.18,5.55,128.0,-114.0,27.0,-51.0,8454.0,Cl Melotte 22                  ,56.6009,24.1142,214.0,2.0,206.0,209.0,46.0,206.0,211.0,2.0,206.0,209.0,46.0,206.0,211.0,77624711.66286911
739,Melotte_25       ,67.447,16.948,179.767,-21.164,5.416,515,103.018,20.613,-27.228,13.932,21.059,1.969,,8.9,0.0,3.39,47.0,-44.0,0.0,-17.0,8384.0,Cl Melotte 25                  ,67.4465,16.9481,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,794328234.7242821
767,NGC_1647         ,71.481,19.079,-179.632,-16.792,0.417,604,-1.057,0.253,-1.502,0.236,1.675,0.076,,8.56,0.64,9.02,635.0,-608.0,-3.0,-183.0,8948.0,NGC 1647                       ,71.481,19.079,459.0,0.0,54.0,455.0,0.0,394.0,456.0,0.0,54.0,455.0,0.0,394.0,456.0,363078054.7701018
788,NGC_2099         ,88.074,32.545,177.642,3.086,0.161,1648,1.924,0.201,-5.648,0.175,0.666,0.068,,8.65,0.75,10.78,1432.0,-1429.0,58.0,77.0,9769.0,NGC 2099                       ,88.074,32.545,1577.0,0.0,3.0,1474.0,0.0,4.0,1526.0,0.0,3.0,1474.0,0.0,4.0,1526.0,446683592.1509635
789,NGC_2112         ,88.452,0.403,-154.114,-12.605,0.173,687,-2.713,0.2,4.27,0.172,0.877,0.066,,9.32,1.71,10.3,1148.0,-1007.0,-489.0,-250.0,9360.0,NGC 2112                       ,88.452,0.403,686.0,0.0,0.0,656.0,0.0,1.0,671.0,0.0,0.0,656.0,0.0,1.0,671.0,2089296130.8540409
794,NGC_2168         ,92.272,24.336,-173.391,2.23,0.319,1247,2.308,0.239,-2.905,0.235,1.131,0.064,,8.17,0.46,9.79,906.0,-899.0,-104.0,35.0,9240.0,NGC 2168                       ,92.272,24.336,1042.0,0.0,1.0,1031.0,0.0,173.0,1033.0,0.0,1.0,1031.0,0.0,173.0,1033.0,147910838.8168207
818,NGC_2287         ,101.499,-20.716,-129.02,-10.432,0.332,625,-4.339,0.178,-1.381,0.199,1.36,0.057,,8.23,0.02,9.19,688.0,-426.0,-526.0,-124.0,8782.0,NGC 2287                       ,101.499,-20.716,505.0,0.0,81.0,497.0,0.0,387.0,498.0,0.0,81.0,497.0,0.0,387.0,498.0,169824365.2461746
825,NGC_2323         ,105.684,-8.365,-138.34,-1.315,0.263,773,-0.688,0.271,-0.611,0.2,0.997,0.057,,8.12,0.46,9.96,983.0,-734.0,-653.0,-22.0,9098.0,NGC 2323                       ,105.684,-8.365,651.0,0.0,1.0,640.0,0.0,36.0,644.0,0.0,1.0,640.0,0.0,36.0,644.0,131825673.85564047
834,NGC_2360         ,109.443,-15.631,-130.196,-1.409,0.154,680,0.383,0.161,5.603,0.15,0.902,0.053,,9.01,0.39,10.25,1122.0,-724.0,-857.0,-27.0,9104.0,NGC 2360                       ,109.443,-15.631,679.0,0.0,1.0,655.0,0.0,12.0,669.0,0.0,1.0,655.0,0.0,12.0,669.0,1023292992.2807536
849,NGC_2437         ,115.445,-14.844,-128.111,4.051,0.211,1733,-3.838,0.149,0.365,0.144,0.603,0.06,,8.48,0.73,10.9,1511.0,-930.0,-1185.0,106.0,9345.0,NGC 2437                       ,115.445,-14.844,1661.0,0.0,1.0,1524.0,0.0,4.0,1634.0,0.0,1.0,1524.0,0.0,4.0,1634.0,301995172.0402019
851,NGC_2447         ,116.141,-23.853,-119.957,0.149,0.202,731,-3.551,0.158,5.068,0.167,0.968,0.055,,8.76,0.05,10.04,1018.0,-508.0,-882.0,2.0,8892.0,NGC 2447                       ,116.141,-23.853,674.0,0.0,3.0,649.0,0.0,88.0,651.0,0.0,3.0,649.0,0.0,88.0,651.0,575439937.3371567
857,NGC_2477         ,118.046,-38.537,-106.429,-5.838,0.15,1713,-2.449,0.169,0.87,0.192,0.665,0.037,,9.05,0.68,10.8,1442.0,-405.0,-1376.0,-146.0,8853.0,NGC 2477                       ,118.046,-38.537,1712.0,0.0,0.0,1547.0,0.0,3.0,1596.0,0.0,0.0,1547.0,0.0,3.0,1596.0,1122018454.3019652
863,NGC_2516         ,119.527,-60.8,-86.13900000000001,-15.873,0.496,652,-4.748,0.441,11.221,0.345,2.417,0.045,,8.38,0.11,8.14,423.0,27.0,-406.0,-115.0,8322.0,NGC 2516                       ,119.527,-60.8,370.0,0.0,350.0,367.0,0.0,362.0,368.0,0.0,350.0,367.0,0.0,362.0,368.0,239883291.90194947
876,NGC_2632         ,130.054,19.621,-154.048,32.428,0.985,685,-36.09,1.115,-12.919,0.997,5.361,0.129,,8.83,0.0,6.31,183.0,-139.0,-67.0,98.0,8479.0,NGC 2632                       ,130.0542,19.6211,209.0,0.0,200.0,209.0,0.0,201.0,209.0,0.0,200.0,209.0,0.0,201.0,209.0,676082975.3919818
885,NGC_2682         ,132.846,11.814,-144.309,31.921,0.166,598,-10.986,0.193,-2.964,0.201,1.135,0.051,,9.63,0.07,9.75,889.0,-613.0,-440.0,470.0,8964.0,NGC 2682                       ,132.846,11.814,598.0,0.0,2.0,582.0,0.0,129.0,592.0,0.0,2.0,582.0,0.0,129.0,592.0,4265795188.0159345
894,NGC_3114         ,150.553,-60.041,-76.75400000000002,-3.805,0.41,1222,-7.376,0.187,3.779,0.191,0.954,0.048,,8.16,0.27,10.05,1021.0,233.0,-991.0,-67.0,8166.0,NGC 3114                       ,150.5531,-60.041,751.0,0.0,1.0,718.0,0.0,30.0,727.0,0.0,1.0,718.0,0.0,30.0,727.0,144543977.0745928
901,NGC_3532         ,166.417,-58.707,-70.44600000000003,1.39,0.536,1854,-10.385,0.396,5.175,0.404,2.066,0.062,,8.6,0.0,8.49,498.0,166.0,-469.0,12.0,8186.0,NGC 3532                       ,166.4171,-58.707,933.0,0.0,689.0,900.0,0.0,868.0,909.0,0.0,689.0,900.0,0.0,868.0,909.0,398107170.5534969
920,NGC_4755         ,193.415,-60.371,-56.793000000000006,2.5,0.086,595,-4.647,0.132,-1.134,0.134,0.462,0.044,,7.08,1.22,11.5,1992.0,1090.0,-1665.0,86.0,7438.0,NGC 4755                       ,193.415,-60.371,584.0,3.0,4.0,330.0,3.0,8.0,489.0,3.0,4.0,330.0,3.0,8.0,489.0,12022644.34617413
940,NGC_5822         ,226.051,-54.366,-38.43000000000001,3.63,0.368,634,-7.422,0.222,-5.534,0.205,1.187,0.05,,8.96,0.39,9.66,854.0,668.0,-530.0,54.0,7689.0,NGC 5822                       ,226.0511,-54.366,443.0,0.0,2.0,416.0,0.0,168.0,430.0,0.0,2.0,416.0,0.0,168.0,430.0,912010839.3559115
947,NGC_6067         ,243.299,-54.227,-30.25999999999999,-2.213,0.112,844,-1.907,0.123,-2.586,0.12,0.443,0.065,,8.1,0.97,11.37,1881.0,1624.0,-947.0,-72.0,6782.0,NGC 6067                       ,243.299,-54.227,795.0,0.0,5.0,355.0,0.0,8.0,636.0,0.0,5.0,355.0,0.0,8.0,636.0,125892541.17941661
950,NGC_6124         ,246.332,-40.661,-19.264999999999983,6.012,0.401,1273,-0.203,0.374,-2.094,0.352,1.557,0.073,,8.28,1.93,9.08,654.0,614.0,-214.0,68.0,7728.0,NGC 6124                       ,246.332,-40.661,861.0,0.0,46.0,837.0,0.0,354.0,845.0,0.0,46.0,837.0,0.0,354.0,845.0,190546071.79632443
951,NGC_6134         ,246.953,-49.161,-25.08499999999998,-0.21,0.156,802,2.184,0.211,-4.483,0.184,0.846,0.062,,8.99,0.87,10.36,1182.0,1070.0,-501.0,-4.0,7286.0,NGC 6134                       ,246.953,-49.161,749.0,0.0,10.0,683.0,0.0,20.0,714.0,0.0,10.0,683.0,0.0,20.0,714.0,977237220.9558111
955,NGC_6192         ,250.077,-43.355,-19.35300000000001,2.14,0.084,514,1.653,0.19,-0.188,0.138,0.571,0.058,,8.38,1.57,11.2,1737.0,1637.0,-575.0,64.0,6726.0,NGC 6192                       ,250.077,-43.355,493.0,0.0,1.0,284.0,0.0,2.0,442.0,0.0,1.0,284.0,0.0,2.0,442.0,239883291.90194947
960,NGC_6231         ,253.545,-41.812,-16.524,1.19,0.147,527,-0.529,0.175,-2.177,0.186,0.589,0.058,,7.14,1.07,10.84,1475.0,1414.0,-419.0,30.0,6938.0,NGC 6231                       ,253.545,-41.812,516.0,0.0,0.0,367.0,0.0,0.0,467.0,0.0,0.0,367.0,0.0,0.0,467.0,13803842.646028839
976,NGC_6405         ,265.069,-32.242,-3.415999999999997,-0.76,0.275,573,-1.306,0.341,-5.847,0.342,2.172,0.095,,7.54,0.49,8.31,459.0,459.0,-27.0,-6.0,7880.0,NGC 6405                       ,265.069,-32.242,433.0,1.0,334.0,425.0,1.0,390.0,428.0,1.0,334.0,425.0,1.0,390.0,428.0,34673685.045253165
982,NGC_6475         ,268.447,-34.841,-4.187000000000012,-4.513,0.834,819,3.099,0.493,-5.426,0.449,3.572,0.108,,8.35,0.3,7.28,285.0,283.0,-20.0,-22.0,8056.0,NGC 6475                       ,268.447,-34.841,290.0,0.0,260.0,276.0,0.0,271.0,277.0,0.0,260.0,276.0,0.0,271.0,277.0,223872113.8568338
1993,UPK_640          ,250.26,-39.494,-16.439999999999998,4.473,1.213,616,-11.973,0.789,-21.25,0.682,5.673,0.204,,7.4,0.4,6.21,174.0,166.0,-49.0,13.0,8173.0,                               ,250.2601,-39.4939,111.0,0.0,102.0,107.0,1.0,102.0,108.0,0.0,102.0,107.0,1.0,102.0,108.0,25118864.315095823
